temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria
15.23,91.28,417.33,0.76,2024-09-27,02:24:00,100.0
4.88,70.2,169.75,1.32,2024-09-27,02:28:00,100.0
34.21,79.69,644.17,0.87,2024-09-27,02:32:00,100.0
22.01,63.49,32.59,1.05,2024-09-27,02:36:00,97.78
6.1,92.27,145.31,0.65,2024-09-27,02:40:00,99.1
24.76,64.93,541.47,0.91,2024-09-27,02:44:00,100.0
1.72,67.87,510.75,0.25,2024-09-27,02:48:00,100.0
45.47,79.53,208.28,0.86,2024-09-27,02:52:00,100.0
12.94,86.74,44.66,0.15,2024-09-27,02:56:00,100.0
33.13,81.68,617.82,0.47,2024-09-27,03:00:00,100.0
15.59,68.12,225.86,0.31,2024-09-27,03:04:00,100.0
26.0,60.03,140.91,0.6,2024-09-27,03:08:00,97.59
27.34,86.5,371.56,0.35,2024-09-27,03:12:00,98.05
9.24,94.48,655.36,0.16,2024-09-27,03:16:00,100.0
48.48,88.35,31.35,0.14,2024-09-27,03:20:00,100.0
38.76,76.11,551.38,0.17,2024-09-27,03:24:00,98.36
46.97,91.63,412.18,0.61,2024-09-27,03:28:00,98.07
44.74,74.34,306.32,0.63,2024-09-27,03:32:00,100.0
29.89,78.37,535.74,0.35,2024-09-27,03:36:00,98.97
46.09,76.7,695.39,0.7,2024-09-27,03:40:00,97.98
4.42,75.67,165.03,0.44,2024-09-27,03:44:00,100.0
9.8,87.13,103.43,0.66,2024-09-27,03:48:00,100.0
2.26,78.44,657.27,0.5,2024-09-27,03:52:00,97.33
16.27,71.09,481.65,0.89,2024-09-27,03:56:00,98.85
19.43,69.04,315.35,0.25,2024-09-27,04:00:00,100.0
13.57,61.32,412.75,0.08,2024-09-27,04:04:00,100.0
41.44,80.41,536.84,0.44,2024-09-27,04:08:00,100.0
17.84,68.05,556.58,0.54,2024-09-27,04:12:00,98.48
14.05,65.18,662.32,0.2,2024-09-27,04:16:00,97.83
27.13,82.88,307.33,0.23,2024-09-27,04:20:00,99.48
7.05,83.84,211.26,0.75,2024-09-27,04:24:00,99.4
40.11,86.33,460.56,0.76,2024-09-27,04:28:00,95.15
3.73,77.63,299.32,0.43,2024-09-27,04:32:00,96.06
49.34,91.29,428.11,0.11,2024-09-27,04:36:00,94.88
38.61,92.77,302.39,0.73,2024-09-27,04:40:00,99.47
9.94,88.26,110.16,0.53,2024-09-27,04:44:00,100.0
0.28,82.25,337.99,0.32,2024-09-27,04:48:00,100.0
40.77,70.63,497.46,0.95,2024-09-27,04:52:00,96.86
35.34,94.4,575.48,0.04,2024-09-27,04:56:00,97.57
36.45,69.59,355.19,0.48,2024-09-27,05:00:00,96.8
38.56,67.09,118.97,0.73,2024-09-27,05:04:00,99.57
3.7,75.48,298.58,0.15,2024-09-27,05:08:00,100.0
17.92,61.99,566.13,0.14,2024-09-27,05:12:00,100.0
5.79,94.25,297.26,1.45,2024-09-27,05:16:00,98.01
43.16,80.6,501.5,0.75,2024-09-27,05:20:00,99.58
31.16,79.49,365.19,1.22,2024-09-27,05:24:00,97.86
16.54,82.95,173.68,0.9,2024-09-27,05:28:00,99.39
3.18,77.4,573.23,0.62,2024-09-27,05:32:00,98.07
15.55,61.12,60.63,1.58,2024-09-27,05:36:00,98.21
16.26,81.43,377.92,0.57,2024-09-27,05:40:00,96.68
36.48,85.07,150.4,0.45,2024-09-27,05:44:00,93.3
31.88,74.59,48.29,0.91,2024-09-27,05:48:00,98.54
44.36,86.51,362.11,0.96,2024-09-27,05:52:00,99.97
23.61,67.95,359.68,0.68,2024-09-27,05:56:00,99.7
5.98,67.74,508.97,0.32,2024-09-27,06:00:00,96.29
35.66,65.65,536.22,0.9,2024-09-27,06:04:00,94.76
38.04,73.02,524.01,0.31,2024-09-27,06:08:00,99.1
28.06,89.65,294.88,0.51,2024-09-27,06:12:00,96.94
38.55,88.98,454.82,0.23,2024-09-27,06:16:00,98.35
24.69,73.4,415.4,0.24,2024-09-27,06:20:00,96.9
26.14,80.62,303.52,0.44,2024-09-27,06:24:00,96.12
21.38,85.23,429.99,0.63,2024-09-27,06:28:00,100.0
1.27,68.44,682.02,1.54,2024-09-27,06:32:00,100.0
5.39,65.88,138.88,0.29,2024-09-27,06:36:00,99.16
1.57,94.02,652.16,0.52,2024-09-27,06:40:00,100.0
31.82,81.61,38.49,0.45,2024-09-27,06:44:00,99.23
15.72,94.35,222.04,0.65,2024-09-27,06:48:00,98.43
25.43,71.82,207.46,0.39,2024-09-27,06:52:00,100.0
45.38,84.61,450.98,0.76,2024-09-27,06:56:00,100.0
12.46,67.79,94.48,0.22,2024-09-27,07:00:00,97.14
20.52,69.14,635.29,0.49,2024-09-27,07:04:00,99.7
37.78,77.92,596.56,0.63,2024-09-27,07:08:00,99.43
11.44,71.19,469.49,1.0,2024-09-27,07:12:00,100.0
3.85,65.87,330.06,0.77,2024-09-27,07:16:00,97.01
14.49,69.2,671.73,0.48,2024-09-27,07:20:00,100.0
8.06,61.25,598.14,0.24,2024-09-27,07:24:00,97.26
46.48,84.65,359.51,1.66,2024-09-27,07:28:00,98.83
40.41,77.22,505.35,0.27,2024-09-27,07:32:00,96.82
31.67,63.3,408.19,0.16,2024-09-27,07:36:00,98.02
43.57,66.01,423.32,0.3,2024-09-27,07:40:00,97.01
40.18,63.59,238.3,0.13,2024-09-27,07:44:00,97.16
9.33,81.44,332.7,0.62,2024-09-27,07:48:00,100.0
44.63,63.3,56.25,0.48,2024-09-27,07:52:00,98.97
26.97,86.4,257.29,0.41,2024-09-27,07:56:00,100.0
40.37,60.72,501.0,0.44,2024-09-27,08:00:00,98.6
44.8,68.73,686.32,0.31,2024-09-27,08:04:00,97.46
15.9,91.17,693.41,0.07,2024-09-27,08:08:00,97.98
5.5,85.15,400.12,0.91,2024-09-27,08:12:00,98.71
11.4,62.55,436.77,0.34,2024-09-27,08:16:00,99.63
21.36,88.74,133.72,0.14,2024-09-27,08:20:00,98.2
40.9,77.26,500.62,0.09,2024-09-27,08:24:00,96.41
43.04,89.64,50.87,1.14,2024-09-27,08:28:00,100.0
0.35,81.03,204.97,0.37,2024-09-27,08:32:00,100.0
25.54,83.86,481.22,0.36,2024-09-27,08:36:00,98.12
20.87,94.77,223.42,0.67,2024-09-27,08:40:00,100.0
11.11,68.13,35.89,0.32,2024-09-27,08:44:00,97.94
5.99,81.84,598.95,0.13,2024-09-27,08:48:00,100.0
16.88,76.11,223.44,0.29,2024-09-27,08:52:00,97.04
47.15,61.38,45.44,0.57,2024-09-27,08:56:00,100.0
16.16,60.51,53.85,0.29,2024-09-27,09:00:00,95.4
25.94,64.17,181.27,0.24,2024-09-27,09:04:00,96.71
35.15,82.72,128.17,0.19,2024-09-27,09:08:00,100.0
18.18,79.85,557.5,0.63,2024-09-27,09:12:00,95.47
48.59,79.37,231.61,0.56,2024-09-27,09:16:00,98.39
48.12,61.11,579.38,0.69,2024-09-27,09:20:00,97.82
12.59,76.43,125.17,0.41,2024-09-27,09:24:00,98.93
24.86,92.36,354.87,0.34,2024-09-27,09:28:00,99.37
15.04,73.92,495.39,0.25,2024-09-27,09:32:00,98.38
14.24,81.87,469.43,0.37,2024-09-27,09:36:00,100.0
1.84,87.29,432.81,0.1,2024-09-27,09:40:00,100.0
30.48,87.44,665.87,0.59,2024-09-27,09:44:00,97.67
25.13,78.17,164.54,0.34,2024-09-27,09:48:00,95.25
2.57,90.03,355.48,0.98,2024-09-27,09:52:00,97.47
13.93,73.7,636.47,0.46,2024-09-27,09:56:00,99.41
45.41,91.1,56.08,0.07,2024-09-27,10:00:00,99.12
11.98,68.41,40.24,0.54,2024-09-27,10:04:00,100.0
7.24,69.81,167.98,1.69,2024-09-27,10:08:00,100.0
24.47,61.86,455.78,0.63,2024-09-27,10:12:00,99.2
49.28,87.85,187.11,0.82,2024-09-27,10:16:00,97.95
12.1,74.6,136.97,1.05,2024-09-27,10:20:00,97.31
33.61,68.02,330.34,0.23,2024-09-27,10:24:00,98.38
38.08,68.11,441.79,0.42,2024-09-27,10:28:00,100.0
11.88,91.55,178.96,0.24,2024-09-27,10:32:00,97.53
36.41,89.19,216.5,0.75,2024-09-27,10:36:00,99.92
18.39,79.37,441.76,0.24,2024-09-27,10:40:00,96.55
31.62,81.56,680.93,0.41,2024-09-27,10:44:00,98.67
31.68,76.6,485.81,0.8,2024-09-27,10:48:00,95.61
26.79,73.71,563.69,0.75,2024-09-27,10:52:00,97.56
4.51,92.04,264.1,0.53,2024-09-27,10:56:00,100.0
41.77,64.4,196.02,1.06,2024-09-27,11:00:00,99.2
16.04,74.65,327.07,0.79,2024-09-27,11:04:00,98.41
9.33,72.06,581.14,0.29,2024-09-27,11:08:00,99.2
2.04,77.44,328.54,0.14,2024-09-27,11:12:00,99.68
29.54,76.02,609.64,0.22,2024-09-27,11:16:00,99.3
33.88,78.16,711.92,0.83,2024-09-27,11:20:00,99.1
0.83,64.9,51.86,0.63,2024-09-27,11:24:00,96.64
25.6,77.96,32.7,1.07,2024-09-27,11:28:00,95.67
11.32,68.48,107.7,0.67,2024-09-27,11:32:00,100.0
32.26,66.45,276.75,0.81,2024-09-27,11:36:00,95.99
8.72,62.27,94.35,0.59,2024-09-27,11:40:00,99.33
34.55,86.69,626.88,0.28,2024-09-27,11:44:00,100.0
19.34,74.96,16.67,0.27,2024-09-27,11:48:00,96.52
46.84,81.93,227.37,0.22,2024-09-27,11:52:00,97.26
6.88,85.47,132.98,0.28,2024-09-27,11:56:00,98.26
17.05,83.78,670.71,1.09,2024-09-27,12:00:00,96.79
5.67,76.47,482.03,0.74,2024-09-27,12:04:00,96.75
46.23,73.58,656.66,0.41,2024-09-27,12:08:00,97.48
43.87,73.16,700.08,0.64,2024-09-27,12:12:00,96.99
12.9,82.4,357.91,0.63,2024-09-27,12:16:00,99.5
33.0,77.32,168.71,1.15,2024-09-27,12:20:00,98.68
40.86,89.72,139.48,0.38,2024-09-27,12:24:00,95.62
27.76,90.61,160.5,0.56,2024-09-27,12:28:00,100.0
26.48,65.97,510.19,0.81,2024-09-27,12:32:00,97.9
12.09,64.77,29.12,0.28,2024-09-27,12:36:00,98.35
4.66,82.06,36.98,1.21,2024-09-27,12:40:00,97.43
44.86,70.54,437.86,0.78,2024-09-27,12:44:00,98.45
45.02,60.65,462.28,0.22,2024-09-27,12:48:00,96.65
31.66,91.1,478.99,1.49,2024-09-27,12:52:00,95.75
16.95,67.94,267.75,1.06,2024-09-27,12:56:00,97.78
17.46,92.52,580.28,0.72,2024-09-27,13:00:00,100.0
36.3,85.11,384.21,0.08,2024-09-27,13:04:00,99.56
44.86,86.69,75.94,0.32,2024-09-27,13:08:00,100.0
44.35,67.05,573.91,0.53,2024-09-27,13:12:00,97.27
38.99,68.2,686.21,0.56,2024-09-27,13:16:00,96.77
32.1,78.24,43.23,0.5,2024-09-27,13:20:00,97.37
4.21,66.02,281.77,0.17,2024-09-27,13:24:00,99.42
8.08,70.69,351.01,0.4,2024-09-27,13:28:00,100.0
44.93,71.25,105.46,0.43,2024-09-27,13:32:00,97.82
30.32,65.59,624.75,0.06,2024-09-27,13:36:00,95.56
0.46,67.18,204.59,0.71,2024-09-27,13:40:00,100.0
5.07,87.6,563.77,1.3,2024-09-27,13:44:00,100.0
33.18,65.85,483.12,0.45,2024-09-27,13:48:00,99.37
0.25,61.0,430.59,0.72,2024-09-27,13:52:00,100.0
8.04,82.03,138.34,0.22,2024-09-27,13:56:00,94.5
27.44,94.16,158.91,0.61,2024-09-27,14:00:00,96.47
34.59,71.59,34.09,0.62,2024-09-27,14:04:00,98.35
32.6,64.15,173.31,0.98,2024-09-27,14:08:00,96.19
11.21,79.96,248.72,1.11,2024-09-27,14:12:00,100.0
35.61,91.72,599.86,0.72,2024-09-27,14:16:00,95.94
11.86,87.44,263.8,0.29,2024-09-27,14:20:00,100.0
16.27,81.79,543.33,0.28,2024-09-27,14:24:00,96.57
37.32,71.03,316.4,1.1,2024-09-27,14:28:00,100.0
32.48,78.97,565.11,0.18,2024-09-27,14:32:00,96.61
42.46,63.19,702.92,0.32,2024-09-27,14:36:00,93.52
32.88,83.76,172.69,0.68,2024-09-27,14:40:00,98.52
28.42,85.38,620.89,1.28,2024-09-27,14:44:00,99.59
4.68,93.78,447.71,1.35,2024-09-27,14:48:00,96.15
18.39,69.11,588.45,0.04,2024-09-27,14:52:00,100.0
13.26,60.65,469.14,0.6,2024-09-27,14:56:00,100.0
12.2,79.1,305.24,0.47,2024-09-27,15:00:00,97.85
48.65,84.74,164.21,0.25,2024-09-27,15:04:00,98.83
19.65,87.66,50.43,0.04,2024-09-27,15:08:00,98.21
44.6,66.78,385.57,0.47,2024-09-27,15:12:00,99.49
31.56,69.16,713.03,0.18,2024-09-27,15:16:00,99.87
39.74,77.94,531.39,0.66,2024-09-27,15:20:00,94.85
25.13,71.57,235.69,0.5,2024-09-27,15:24:00,100.0
28.85,90.12,595.59,0.08,2024-09-27,15:28:00,100.0
24.63,76.58,553.67,0.41,2024-09-27,15:32:00,96.04
9.76,87.99,202.78,0.13,2024-09-27,15:36:00,100.0
36.12,80.32,10.3,0.58,2024-09-27,15:40:00,100.0
14.04,87.06,85.08,0.76,2024-09-27,15:44:00,94.68
1.22,71.64,631.66,0.36,2024-09-27,15:48:00,99.48
32.27,89.1,602.33,1.07,2024-09-27,15:52:00,99.93
8.86,69.61,212.55,0.59,2024-09-27,15:56:00,98.82
47.02,79.11,205.34,0.49,2024-09-27,16:00:00,100.0
47.7,67.49,570.86,0.5,2024-09-27,16:04:00,98.47
45.74,76.64,675.17,0.41,2024-09-27,16:08:00,99.05
18.51,71.14,560.98,0.4,2024-09-27,16:12:00,94.26
0.77,69.33,436.02,0.17,2024-09-27,16:16:00,96.73
46.42,93.84,174.72,1.23,2024-09-27,16:20:00,100.0
21.41,65.6,378.54,0.41,2024-09-27,16:24:00,96.64
48.33,87.56,168.13,1.35,2024-09-27,16:28:00,97.91
48.18,94.45,581.77,0.75,2024-09-27,16:32:00,95.76
42.65,60.7,278.61,0.44,2024-09-27,16:36:00,96.68
14.72,84.47,600.26,0.53,2024-09-27,16:40:00,98.68
19.25,68.85,274.76,0.76,2024-09-27,16:44:00,97.71
42.56,61.42,593.39,0.92,2024-09-27,16:48:00,94.35
15.85,74.1,239.99,0.49,2024-09-27,16:52:00,96.46
8.47,92.73,316.9,0.87,2024-09-27,16:56:00,100.0
27.84,60.41,443.15,0.75,2024-09-27,17:00:00,100.0
46.81,80.58,50.61,0.77,2024-09-27,17:04:00,98.02
34.8,77.55,682.71,0.87,2024-09-27,17:08:00,98.62
28.5,90.57,413.0,0.31,2024-09-27,17:12:00,96.64
4.86,62.94,365.63,1.14,2024-09-27,17:16:00,100.0
30.75,83.85,604.36,0.63,2024-09-27,17:20:00,97.39
49.5,83.8,623.35,0.92,2024-09-27,17:24:00,95.45
7.0,83.42,376.03,0.49,2024-09-27,17:28:00,94.5
25.92,92.98,667.63,0.57,2024-09-27,17:32:00,94.41
43.87,88.81,46.61,0.31,2024-09-27,17:36:00,96.3
37.04,61.47,81.52,0.2,2024-09-27,17:40:00,100.0
34.85,76.49,429.69,0.43,2024-09-27,17:44:00,100.0
35.12,73.93,254.93,0.79,2024-09-27,17:48:00,100.0
17.97,70.86,334.24,0.32,2024-09-27,17:52:00,94.37
14.68,75.8,236.22,0.12,2024-09-27,17:56:00,95.62
40.47,73.45,291.4,1.02,2024-09-27,18:00:00,95.62
40.51,75.13,592.31,0.18,2024-09-27,18:04:00,97.26
43.35,94.27,427.3,0.61,2024-09-27,18:08:00,96.14
45.66,63.1,718.09,1.45,2024-09-27,18:12:00,99.06
25.57,92.28,566.55,2.84,2024-09-27,18:16:00,97.24
25.08,76.81,197.04,0.44,2024-09-27,18:20:00,99.55
39.91,81.83,190.33,1.03,2024-09-27,18:24:00,98.98
32.5,89.06,241.85,0.62,2024-09-27,18:28:00,100.0
35.1,72.62,607.15,0.23,2024-09-27,18:32:00,96.32
39.79,75.06,19.65,0.41,2024-09-27,18:36:00,99.67
44.5,74.33,165.73,0.34,2024-09-27,18:40:00,96.25
16.9,73.12,651.54,1.0,2024-09-27,18:44:00,97.64
18.78,92.39,460.73,1.41,2024-09-27,18:48:00,96.07
4.7,89.01,163.33,0.37,2024-09-27,18:52:00,98.44
28.91,63.81,157.78,0.12,2024-09-27,18:56:00,100.0
1.8,63.78,621.09,0.56,2024-09-27,19:00:00,100.0
23.28,74.98,643.51,0.24,2024-09-27,19:04:00,98.43
27.13,63.45,184.41,0.2,2024-09-27,19:08:00,97.42
14.33,81.67,302.77,0.29,2024-09-27,19:12:00,97.66
29.54,65.03,600.91,0.27,2024-09-27,19:16:00,100.0
1.53,78.28,555.13,0.66,2024-09-27,19:20:00,96.0
1.87,60.25,586.02,0.77,2024-09-27,19:24:00,98.6
41.13,71.08,373.25,0.61,2024-09-27,19:28:00,99.91
18.01,83.7,656.32,0.24,2024-09-27,19:32:00,97.64
6.35,76.94,234.69,0.25,2024-09-27,19:36:00,99.5
26.11,94.24,112.8,0.47,2024-09-27,19:40:00,100.0
38.5,90.59,510.29,0.38,2024-09-27,19:44:00,97.45
10.79,72.57,388.34,0.5,2024-09-27,19:48:00,97.11
31.14,61.59,615.3,0.64,2024-09-27,19:52:00,98.06
4.27,89.6,58.43,0.47,2024-09-27,19:56:00,98.59
2.58,91.89,607.46,0.73,2024-09-27,20:00:00,100.0
26.57,88.72,211.17,0.57,2024-09-27,20:04:00,100.0
27.03,64.48,471.5,0.75,2024-09-27,20:08:00,98.24
31.87,94.93,28.89,0.19,2024-09-27,20:12:00,93.64
36.3,69.05,438.9,0.1,2024-09-27,20:16:00,94.67
48.79,85.35,516.44,0.23,2024-09-27,20:20:00,99.5
25.82,91.78,265.5,0.95,2024-09-27,20:24:00,96.29
16.15,68.25,155.1,0.58,2024-09-27,20:28:00,99.63
39.76,91.79,387.09,0.31,2024-09-27,20:32:00,99.19
13.54,70.83,599.9,0.28,2024-09-27,20:36:00,97.16
21.95,94.17,232.95,0.78,2024-09-27,20:40:00,95.87
3.92,69.84,181.78,0.59,2024-09-27,20:44:00,97.17
1.27,93.37,200.83,0.16,2024-09-27,20:48:00,97.91
48.13,61.87,683.38,0.16,2024-09-27,20:52:00,94.73
41.8,84.82,258.68,0.73,2024-09-27,20:56:00,99.34
34.8,78.62,2.6,0.3,2024-09-27,21:00:00,98.88
20.45,76.73,562.81,0.13,2024-09-27,21:04:00,97.85
8.66,67.82,503.48,0.12,2024-09-27,21:08:00,97.85
7.82,84.7,92.57,0.66,2024-09-27,21:12:00,100.0
12.51,66.68,709.13,0.31,2024-09-27,21:16:00,95.98
27.46,79.35,437.8,0.82,2024-09-27,21:20:00,96.73
35.73,68.86,360.56,0.52,2024-09-27,21:24:00,97.56
33.01,93.45,275.2,0.36,2024-09-27,21:28:00,96.26
14.0,61.0,647.04,0.49,2024-09-27,21:32:00,97.16
47.74,66.99,175.65,1.54,2024-09-27,21:36:00,94.26
36.89,68.48,205.75,0.22,2024-09-27,21:40:00,96.64
27.72,74.49,88.14,1.06,2024-09-27,21:44:00,97.15
30.59,68.15,546.57,0.74,2024-09-27,21:48:00,95.89
20.98,77.2,428.8,0.33,2024-09-27,21:52:00,99.96
12.39,90.54,438.53,0.74,2024-09-27,21:56:00,98.24
17.8,84.92,157.3,0.56,2024-09-27,22:00:00,97.14
37.89,80.3,468.84,0.46,2024-09-27,22:04:00,96.16
0.72,63.12,551.13,0.38,2024-09-27,22:08:00,94.26
5.8,84.29,257.68,0.92,2024-09-27,22:12:00,95.97
2.3,65.82,576.97,0.51,2024-09-27,22:16:00,97.46
2.04,87.52,251.13,0.24,2024-09-27,22:20:00,97.18
42.77,68.75,545.86,0.48,2024-09-27,22:24:00,95.81
35.18,74.6,24.29,0.13,2024-09-27,22:28:00,100.0
23.71,72.27,396.84,0.3,2024-09-27,22:32:00,99.49
4.89,90.06,698.06,0.72,2024-09-27,22:36:00,96.41
24.58,64.43,706.5,0.21,2024-09-27,22:40:00,98.45
23.67,79.8,202.86,1.9,2024-09-27,22:44:00,99.86
8.66,64.97,317.81,0.06,2024-09-27,22:48:00,97.96
21.69,84.67,45.34,0.38,2024-09-27,22:52:00,96.92
19.93,91.68,628.81,0.77,2024-09-27,22:56:00,93.62
30.79,75.21,409.37,0.14,2024-09-27,23:00:00,97.11
31.75,77.08,277.27,0.78,2024-09-27,23:04:00,95.72
2.27,92.46,81.19,0.75,2024-09-27,23:08:00,96.04
18.73,78.23,681.67,0.4,2024-09-27,23:12:00,96.58
31.29,77.07,381.76,0.24,2024-09-27,23:16:00,96.77
25.16,80.24,203.71,0.5,2024-09-27,23:20:00,96.45
42.82,84.12,252.15,0.72,2024-09-27,23:24:00,94.52
32.93,63.74,194.9,0.26,2024-09-27,23:28:00,93.69
8.15,88.74,433.3,0.46,2024-09-27,23:32:00,98.82
3.53,75.24,669.57,0.14,2024-09-27,23:36:00,100.0
32.12,62.53,616.82,0.86,2024-09-27,23:40:00,97.37
1.33,87.52,331.47,1.38,2024-09-27,23:44:00,94.96
29.29,73.19,595.08,0.35,2024-09-27,23:48:00,99.12
47.01,63.51,304.64,0.29,2024-09-27,23:52:00,100.0
28.77,82.18,181.66,0.98,2024-09-27,23:56:00,99.55
19.41,90.8,708.06,0.97,2024-09-28,00:00:00,99.81
32.16,91.07,218.8,0.8,2024-09-28,00:04:00,94.78
22.91,93.52,233.08,0.18,2024-09-28,00:08:00,95.98
27.28,90.37,712.58,0.03,2024-09-28,00:12:00,99.51
47.07,60.07,96.43,0.44,2024-09-28,00:16:00,94.67
19.31,73.31,547.58,0.66,2024-09-28,00:20:00,95.97
48.06,88.65,673.79,0.35,2024-09-28,00:24:00,97.45
45.27,72.82,368.49,0.95,2024-09-28,00:28:00,98.14
9.79,81.05,1.82,0.3,2024-09-28,00:32:00,96.51
3.47,81.22,270.04,0.11,2024-09-28,00:36:00,97.07
5.04,72.78,80.33,0.35,2024-09-28,00:40:00,97.37
0.91,91.66,299.66,0.62,2024-09-28,00:44:00,96.58
4.72,77.61,568.82,0.21,2024-09-28,00:48:00,96.02
34.15,76.27,315.87,0.58,2024-09-28,00:52:00,96.77
3.56,94.91,310.99,0.44,2024-09-28,00:56:00,95.93
15.95,77.27,400.89,1.36,2024-09-28,01:00:00,98.79
42.24,66.24,418.82,0.88,2024-09-28,01:04:00,97.6
1.16,77.96,616.53,2.02,2024-09-28,01:08:00,96.84
40.72,88.49,222.02,0.17,2024-09-28,01:12:00,96.5
14.09,87.19,591.6,1.08,2024-09-28,01:16:00,99.05
5.91,87.6,407.47,0.07,2024-09-28,01:20:00,96.22
34.84,84.78,216.38,0.93,2024-09-28,01:24:00,98.4
31.45,68.9,212.49,0.1,2024-09-28,01:28:00,99.31
43.87,90.17,260.02,0.77,2024-09-28,01:32:00,97.92
36.75,91.27,448.34,0.58,2024-09-28,01:36:00,93.7
40.17,66.8,166.18,0.63,2024-09-28,01:40:00,96.07
14.1,64.57,662.64,0.06,2024-09-28,01:44:00,95.2
8.87,94.15,413.94,0.74,2024-09-28,01:48:00,94.51
37.53,90.39,662.41,0.11,2024-09-28,01:52:00,99.08
40.34,91.26,33.41,1.37,2024-09-28,01:56:00,97.64
49.53,91.02,246.68,0.28,2024-09-28,02:00:00,91.75
20.63,78.96,16.42,0.37,2024-09-28,02:04:00,96.85
18.6,82.62,196.02,1.07,2024-09-28,02:08:00,95.54
38.82,79.09,620.64,0.51,2024-09-28,02:12:00,98.71
17.04,61.79,26.36,0.52,2024-09-28,02:16:00,95.53
46.54,86.09,314.03,0.68,2024-09-28,02:20:00,97.47
42.92,77.69,84.65,0.22,2024-09-28,02:24:00,97.44
21.45,82.67,300.13,0.28,2024-09-28,02:28:00,95.18
37.54,77.59,603.97,0.53,2024-09-28,02:32:00,94.8
37.73,77.21,448.61,1.43,2024-09-28,02:36:00,100.0
5.16,66.01,530.46,0.82,2024-09-28,02:40:00,97.58
45.13,69.75,251.35,0.86,2024-09-28,02:44:00,96.89
25.26,65.56,679.97,1.14,2024-09-28,02:48:00,99.2
41.32,66.85,510.67,0.96,2024-09-28,02:52:00,100.0
16.0,94.05,303.7,0.79,2024-09-28,02:56:00,99.77
44.78,65.36,307.05,0.44,2024-09-28,03:00:00,94.01
19.46,69.42,661.45,0.21,2024-09-28,03:04:00,96.82
0.54,80.67,415.01,0.23,2024-09-28,03:08:00,96.19
45.27,81.36,508.59,1.02,2024-09-28,03:12:00,100.0
4.56,65.39,300.27,0.72,2024-09-28,03:16:00,98.15
15.97,87.78,161.06,0.02,2024-09-28,03:20:00,94.13
47.5,87.48,520.96,0.5,2024-09-28,03:24:00,93.03
47.53,68.31,437.63,0.05,2024-09-28,03:28:00,99.95
28.67,70.1,360.97,0.43,2024-09-28,03:32:00,96.67
31.59,92.83,449.3,0.97,2024-09-28,03:36:00,96.61
22.42,88.9,149.97,0.72,2024-09-28,03:40:00,95.99
14.66,84.42,571.64,0.37,2024-09-28,03:44:00,95.01
16.43,62.88,682.68,0.56,2024-09-28,03:48:00,96.74
33.63,74.64,641.59,0.28,2024-09-28,03:52:00,98.27
37.62,79.58,231.43,0.16,2024-09-28,03:56:00,96.59
